Date (MM/DD/YYYY),Time (HH:MM:SS),Turbidity FNU,TSS mg/L
17/12/2020,18:18:00,96,123
17/12/2020,18:23:00,92,123
17/12/2020,18:28:00,89,129
17/12/2020,18:33:00,85,126
17/12/2020,18:38:00,83,125
17/12/2020,18:43:00,80,123
17/12/2020,18:48:00,77,122
17/12/2020,18:53:00,76,123
17/12/2020,18:58:00,73,122
17/12/2020,19:03:00,71,122
17/12/2020,19:08:00,70,122
17/12/2020,19:13:00,69,123
17/12/2020,19:18:00,67,122
17/12/2020,19:23:00,66,123
1/5/2021,9:30:06,70,334
1/5/2021,9:35:07,54,336
1/5/2021,9:40:08,28,336
1/5/2021,9:45:09,21,333
1/5/2021,9:50:10,24,330
1/5/2021,9:55:11,26,326
1/5/2021,10:00:12,30,323
